name,translatedname
general,普通
sensitive,敏感
questionable,擦边
explicit,露骨
1girl,1个女孩
solo,单人
long_hair,长发
breasts,胸部
looking_at_viewer,看向观众
blush,脸红
smile,微笑
open_mouth,张嘴
short_hair,短发
blue_eyes,蓝眼
simple_background,简单背景
shirt,衬衫
large_breasts,巨乳
skirt,裙子
blonde_hair,金毛
multiple_girls,多个女孩
brown_hair,棕毛
black_hair,黑毛
long_sleeves,长袖
hair_ornament,发饰
white_background,白色背景
1boy,1个男孩
gloves,手套
red_eyes,红眼
dress,连衣裙
thighhighs,过膝袜
hat,帽子
holding,手持
bow,蝴蝶结
navel,肚脐
animal_ears,兽耳
ribbon,缎带
hair_between_eyes,眼间发
closed_mouth,闭嘴
2girls,2个女孩
cleavage,乳沟
jewelry,首饰
bare_shoulders,露肩
very_long_hair,超长发
sitting,坐着
twintails,双马尾
medium_breasts,中等胸部
brown_eyes,棕眼
standing,站立
nipples,乳头
green_eyes,绿眼
underwear,内衣
blue_hair,蓝毛
jacket,夹克
school_uniform,校服
purple_eyes,紫眼
collarbone,锁骨
tail,尾巴
white_shirt,白色衬衫
full_body,全身
upper_body,上半身
panties,内裤
closed_eyes,闭眼
yellow_eyes,黄眼
swimsuit,泳装
white_hair,白毛
pink_hair,粉毛
monochrome,单色
grey_hair,灰毛
ahoge,呆毛
braid,辫子
hair_ribbon,发带
purple_hair,紫毛
male_focus,男性焦点
ponytail,马尾
ass,屁股
flower,花
weapon,武器
multicolored_hair,多色发
short_sleeves,短袖
sidelocks,鬓发
comic,漫画
hetero,异性向
heart,爱心
thighs,大腿
:d,大笑表情
hair_bow,发饰蝴蝶结
pantyhose,连裤袜
outdoors,户外
cowboy_shot,牛仔构图
earrings,耳环
greyscale,灰阶
bikini,比基尼
sweat,汗
red_hair,红毛
nude,裸体
pleated_skirt,百褶裙
small_breasts,贫乳
frills,荷叶边
hairband,发箍
parted_lips,微张嘴唇
censored,打码
boots,靴子
open_clothes,敞开的衣服
lying,躺着
horns,角
teeth,牙齿
multiple_boys,多个男孩
wings,翅膀
food,食物
necktie,领带
one_eye_closed,单眼闭合
detached_sleeves,分离袖
sky,天空
penis,阴茎
shorts,短裤
green_hair,绿毛
japanese_clothes,日式服装
shoes,鞋子
sleeveless,无袖
black_gloves,黑色手套
alternate_costume,替换服装
collared_shirt,有领衬衫
choker,颈圈
barefoot,赤足
pussy,阴部
socks,袜
glasses,眼镜
tongue,舌头
pointy_ears,尖耳朵
solo_focus,单人焦点
pants,裤
day,白天
virtual_youtuber,虚拟主播
serafuku,水手服
indoors,室内
puffy_sleeves,泡泡袖
artist_name,作者名
hairclip,发夹
medium_hair,中长发
belt,腰带
fang,虎牙
black_thighhighs,黑色过膝袜
hand_up,举手
elbow_gloves,肘部长手套
midriff,腹部
looking_back,回头看
cloud,云
white_gloves,白色手套
signature,签名
bowtie,领结
hood,兜帽
sword,剑
black_skirt,黑色裙
dark_skin,深色皮肤
2boys,2个男孩
cat_ears,猫耳
blunt_bangs,齐刘海
hair_flower,发花
official_alternate_costume,官方替换服装
tongue_out,吐舌头
sex,性行为
spread_legs,张开双腿
pink_eyes,粉色眼
sailor_collar,水手领
wide_sleeves,宽袖
miniskirt,迷你裙
stomach,腹部
fingerless_gloves,露指手套
cum,精液
on_back,仰卧
tears,眼泪
black_footwear,黑鞋
grey_background,灰色背景
3girls,3个女孩
armpits,腋下
twitter_username,推特用户名
kimono,和服
white_dress,白色连衣裙
holding_weapon,手持武器
off_shoulder,露肩
necklace,项链
striped_clothes,条纹服装
hair_bun,发髻
nail_polish,指甲油
from_behind,背后视角
star_(symbol),星形符号
mole,痣
looking_at_another,看向别人
water,水
hair_over_one_eye,头发遮住一只眼
bag,包
rabbit_ears,兔耳
chibi,Q版
orange_hair,橙色发
blurry,模糊
grin,咧嘴笑
sweatdrop,汗滴
clothes_lift,掀起衣服
black_dress,黑色连衣裙
scarf,围巾
cape,披风
white_thighhighs,白丝
black_eyes,黑色眼
two-tone_hair,双色发
english_text,英文文字
speech_bubble,对话气泡
streaked_hair,挑染发
bra,胸罩
yuri,百合
armor,盔甲
huge_breasts,巨大胸部
vest,背心
open_jacket,张开夹克
halo,光环
from_side,侧面视角
apron,围裙
mosaic_censoring,马赛克遮挡
feet,足
red_bow,红色蝴蝶结
arm_up,举起手臂
white_panties,白色内裤
leotard,连体衣
character_name,角色名
coat,外套
black_jacket,黑色夹克
vaginal,阴道性交
high_heels,高跟鞋
:o,惊讶表情
collar,衣领
arms_up,双臂举起
sweater,毛衣
bracelet,手镯
blue_sky,蓝色天空
flat_chest,平胸
twin_braids,双辫
dated,带日期
uniform,制服
side_ponytail,侧马尾
animal_ear_fluff,兽耳绒毛
red_ribbon,红色缎带
crop_top,短上衣
cup,杯子
aqua_eyes,水色眼
dark-skinned_female,黑皮女性
black_shirt,黑色衬衫
covered_nipples,遮住乳头
puffy_short_sleeves,短泡泡袖
parted_bangs,分开的刘海
completely_nude,全裸
blue_skirt,蓝色裙
two_side_up,双侧扎发
fingernails,手指甲
black_pantyhose,黑丝
tree,树
hands_up,双手举起
looking_to_the_side,看向侧边
v-shaped_eyebrows,V形眉
grey_eyes,灰眼
orange_eyes,橙色眼
legs,腿
neckerchief,领巾
sleeves_past_wrists,袖过腕
sketch,草图
cat_tail,猫尾
groin,腹股沟
symbol-shaped_pupils,符号瞳
eyelashes,睫毛
wet,湿
fur_trim,毛边装饰
see-through,透视装
lips,嘴唇
wrist_cuffs,腕饰袖口
hand_on_own_hip,手放自己腰上
loli,萝莉
pillow,枕头
head_tilt,歪头
gun,枪
maid,女仆
strapless,无肩带
zettai_ryouiki,绝对领域
clothing_cutout,服装镂空
black_headwear,黑色头饰
plaid,格子
bar_censor,黑条遮挡
torn_clothes,破损衣服
mole_under_eye,眼下痣
fox_ears,狐耳
toes,足趾
multiple_views,多视图
one-piece_swimsuit,连体泳装
book,书
sash,腰带饰布
maid_headdress,女仆头饰
sleeveless_shirt,无袖衬衫
short_shorts,短短裤
bare_arms,裸手臂
sleeveless_dress,无袖连衣裙
feet_out_of_frame,脚在画面外
pubic_hair,阴毛
gradient_background,渐变背景
ascot,领巾
shiny_skin,有光泽的皮肤
v,胜利手势
pokemon_(creature),宝可梦生物
black_panties,黑色内裤
cosplay,角色扮演
sparkle,闪光
no_humans,无人类
fake_animal_ears,假兽耳
muscular,肌肉发达
petals,花瓣
kneehighs,及膝袜
bare_legs,裸腿
window,窗户
uncensored,无码
thigh_strap,大腿绑带
black_bow,黑色蝴蝶结
single_braid,单辫
covered_navel,遮住肚脐
hoodie,连帽衫
neck_ribbon,颈部缎带
black_ribbon,黑色缎带
detached_collar,分离式衣领
gradient_hair,渐变发
upper_teeth_only,仅露上牙
tattoo,纹身
dutch_angle,倾斜构图
black_choker,黑色颈圈
dress_shirt,连衣裙衬衫
buttons,纽扣
double_bun,双发髻
blurry_background,模糊背景
open_shirt,张开衬衫
profile,侧脸
sideboob,侧乳
kneeling,跪着
makeup,妆容
blood,血
bell,铃铛
military,军用
hug,拥抱
saliva,口水
floating_hair,飘起的头发
aqua_hair,水色发
mask,口罩
pov,第一人称视角
colored_skin,彩色皮肤
skindentation,皮肤压痕
swept_bangs,斜刘海
anus,肛门
capelet,披肩
bodysuit,紧身衣
leaning_forward,身体前倾
facial_hair,胡子
4girls,4个女孩
blue_dress,蓝色连衣裙
night,夜晚
shadow,阴影
black_pants,黑色裤
pussy_juice,爱液
bed,床
copyright_name,作品名
no_bra,无胸罩
black_bikini,黑色比基尼
:3,猫嘴表情
4koma,四格漫画
heterochromia,异色瞳
depth_of_field,景深
nose_blush,鼻尖泛红
white_headwear,白色头饰
red_skirt,红色裙
alternate_hairstyle,替换发型
blue_bow,蓝色蝴蝶结
turtleneck,高领
fruit,水果
fox_tail,狐尾
^_^,开心表情
blue_background,蓝色背景
border,边框
underboob,下乳
watermark,水印
witch_hat,女巫帽
cum_in_pussy,体内射精
siblings,兄弟姐妹
highleg,高叉
low_twintails,低双马尾
military_uniform,军装
expressionless,无表情
frown,皱眉
bird,鸟
no_panties,无内裤
on_bed,在床上
rose,玫瑰
one_side_up,单侧扎发
cameltoe,骆驼趾
headband,头带
glowing,发光
black_shorts,黑色短裤
scar,伤疤
horse_ears,马耳
bottomless,下身裸露
beret,贝雷帽
ocean,海洋
side-tie_bikini_bottom,侧系带比基尼下装
bed_sheet,床单
soles,足底
animal,兽
brown_footwear,棕色鞋
holding_hands,手持手
wavy_hair,波浪发
fangs,尖牙
halterneck,挂脖
thick_thighs,肉感大腿
leaf,叶子
chain,链条
playboy_bunny,兔女郎
headphones,耳机
piercing,穿孔
arm_support,手臂支撑
from_above,俯视
embarrassed,害羞
white_jacket,白色夹克
holding_sword,手持剑
white_socks,白丝
hair_intakes,进气口刘海
back,背
blush_stickers,脸红贴纸
chinese_clothes,中式服装
white_bikini,白色比基尼
ass_visible_through_thighs,大腿间可见臀部
erection,勃起
phone,手机
no_shoes,没穿鞋
facial_mark,脸部标记
chair,椅子
thick_eyebrows,粗眉
plaid_skirt,格子裙
abs,腹肌
umbrella,伞
looking_down,低头看
bandages,绷带
beach,海滩
thigh_boots,过膝靴
white_footwear,白鞋
horse_girl,马娘
half-closed_eyes,半闭眼
headgear,头部装备
sandals,凉鞋
on_side,侧卧
6+girls,6个以上女孩
female_pubic_hair,女性阴毛
muscular_male,肌肉男
floral_print,花纹印花
heart-shaped_pupils,爱心瞳
bob_cut,波波头
garter_straps,吊袜带
short_dress,短连衣裙
drill_hair,钻头发
wariza,鸭子坐
arms_behind_back,手臂后方背
sunglasses,太阳镜
obi,和服腰带
happy,开心
pectorals,胸肌
red_dress,红色连衣裙
testicles,睾丸
shirt_lift,掀起上衣
eating,进食
grabbing,抓
transparent_background,透明背景
traditional_media,传统媒介
pink_background,粉色背景
flying_sweatdrops,飞溅汗滴
mouth_hold,嘴里叼着
stuffed_toy,毛绒玩具
dark-skinned_male,黑皮男性
hood_down,兜帽放下
frilled_dress,荷叶边连衣裙
squatting,蹲着
clothes_pull,拉扯衣服
cleavage_cutout,胸口镂空
white_skirt,白色裙
table,桌子
blue_shirt,蓝色衬衫
crossed_arms,双臂交叉
parody,恶搞
light_brown_hair,浅色棕色发
thigh_gap,大腿间隙
wavy_mouth,波浪嘴
from_below,仰视
hair_tubes,发管
leg_up,抬腿
ring,戒指
oral,口交
holding_food,手持食物
bound,被束缚
wolf_ears,狼耳
blue_jacket,蓝色夹克
black_socks,黑袜
moon,月亮
black_hairband,黑色发箍
white_flower,白色花
eyepatch,眼罩
scrunchie,发圈
skirt_lift,掀裙
sunlight,阳光
standing_on_one_leg,单脚站立
white_bow,白色蝴蝶结
formal,正装
topless,上身裸露
cat,猫
demon_girl,恶魔娘
cat_girl,猫娘
trembling,颤抖
mob_cap,软帽
cardigan,开衫
backpack,背包
magical_girl,魔法少女
cellphone,手机
pantyshot,内裤走光
own_hands_together,双手合十
eyes_visible_through_hair,透过头发可见眼睛
